p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.19573400097481	0.77	0.477	0	3	Ccl2
0	1.17569176498986	0.778	0.298	0	3	Hilpda
0	1.12503494044433	0.812	0.181	0	3	Clec4d
0	1.11683504201422	0.997	0.979	0	3	Psap
0	1.11448882205255	0.957	0.669	0	3	Ninj1
0	1.09865642078705	0.84	0.222	0	3	Ecm1
0	1.08301006246924	0.959	0.722	0	3	Rnh1
0	1.06819121567736	0.981	0.59	0	3	Anxa5
0	1.06716940453892	0.966	0.456	0	3	Anxa2
0	1.04034812067824	0.989	0.562	0	3	Vim
0	1.02353178019792	0.834	0.167	0	3	Cd24a
0	1.0229290480302	0.995	0.737	0	3	Tmsb10
0	1.01782762266338	0.413	0.033	0	3	Fabp4
0	1.00809827697951	0.913	0.325	0	3	S100a6
0	0.974985959114512	0.991	0.589	0	3	Fxyd5
0	0.973974743544616	0.996	0.983	0	3	Ctsb
0	0.971647788970919	0.914	0.579	0	3	Ftl1-ps1
0	0.957483768519535	0.645	0.136	0	3	Acp5
0	0.946126617815082	0.947	0.345	0	3	S100a11
0	0.941087185443292	0.526	0.107	0	3	F10
0	0.937630887272466	0.966	0.695	0	3	Aprt
0	0.932977439737167	0.986	0.756	0	3	Txn1
0	0.923495378507607	0.563	0.108	0	3	Chil3
0	0.901194727960331	0.897	0.527	0	3	Ap3s1
0	0.893450363881822	0.746	0.23	0	3	S100a4
0	0.888906631235001	0.97	0.753	0	3	Pgam1
0	0.881591958331066	0.925	0.565	0	3	Card19
0	0.863778745076209	0.756	0.12	0	3	Cd93
0	0.861381969281125	0.767	0.276	0	3	Vat1
0	0.852926856161081	0.314	0.109	0	3	Slpi
0	0.851578316234646	0.72	0.176	0	3	F13a1
0	0.843469658128878	0.998	0.932	0	3	Sdcbp
0	0.838890789501477	0.921	0.722	0	3	Esd
0	0.838054253059468	0.992	0.879	0	3	Aldoa
0	0.828073874850501	0.78	0.245	0	3	Ms4a7
0	0.813399985555812	0.432	0.11	0	3	Cd36
0	0.802529630122264	0.999	0.986	0	3	Cyba
0	0.800119499650942	0.983	0.92	0	3	Cd68
0	0.798501529212206	0.523	0.117	0	3	Rgcc
0	0.78963161762662	0.985	0.881	0	3	Atp6v0e
0	0.78751780989713	0.949	0.74	0	3	Eno1
0	0.784185143207859	0.999	0.955	0	3	Calm1
0	0.782733607745403	0.956	0.486	0	3	Crip1
0	0.778043846413758	0.991	0.897	0	3	Pkm
0	0.772363407939858	0.823	0.228	0	3	Adam8
0	0.771868206792155	0.972	0.736	0	3	Emp3
0	0.769571452569829	0.986	0.804	0	3	Mif
0	0.751965268189043	0.996	0.922	0	3	Sec61g
0	0.751146358117741	0.937	0.698	0	3	Tpi1
0	0.740152125844939	0.667	0.371	0	3	Slc48a1
0	0.737798899536766	0.98	0.904	0	3	Akr1a1
0	0.712482429249979	0.476	0.168	0	3	Gm49339
0	0.703412400927534	0.855	0.587	0	3	Gde1
0	0.700272307078171	0.768	0.351	0	3	Smpdl3a
0	0.696017563759882	0.97	0.834	0	3	Ldha
0	-0.694224639202006	0.121	0.536	0	3	Phgdh
0	-0.695935283215526	0.962	0.979	0	3	Rpl30
0	-0.702096059844298	0.456	0.736	0	3	Skil
0	-0.705109026884601	0.407	0.716	0	3	Ntpcr
0	-0.708184753182273	0.678	0.807	0	3	Srsf5
0	-0.709013732856267	0.494	0.754	0	3	Lair1
0	-0.720673471716299	0.129	0.536	0	3	Nrip1
0	-0.724106987896605	0.302	0.619	0	3	mt-Nd4l
0	-0.725566991633793	0.181	0.566	0	3	Fcgrt
0	-0.72738313457125	0.394	0.736	0	3	Bin2
0	-0.729195321545174	0.689	0.847	0	3	Abhd12
0	-0.738697977470996	0.365	0.661	0	3	Socs3
0	-0.747258099135307	0.243	0.609	0	3	Txnip
0	-0.752892958487073	0.221	0.65	0	3	Smap2
0	-0.753263462874131	0.76	0.913	0	3	Coro1a
0	-0.754357171933995	0.925	0.968	0	3	Laptm5
0	-0.7572572054065	0.126	0.588	0	3	Fgd2
0	-0.761013215809871	0.984	0.981	0	3	mt-Nd4
0	-0.762726484251143	0.052	0.536	0	3	Ctsf
0	-0.763288358422241	0.039	0.503	0	3	Ighm
0	-0.768372156266297	0.583	0.769	0	3	Cyfip1
0	-0.77158844903755	0.265	0.684	0	3	Cd33
0	-0.772127556030372	0.8	0.926	0	3	Eef1b2
0	-0.775721466188582	0.754	0.887	0	3	Aif1
0	-0.778036171696345	0.039	0.474	0	3	Lag3
0	-0.779113939264731	0.787	0.876	0	3	Fos
0	-0.791019407357215	0.054	0.548	0	3	Hpgd
0	-0.792243344193634	0.426	0.654	0	3	Maf
0	-0.794651783646258	0.468	0.743	0	3	Ppp1r15a
0	-0.796959432283887	0.111	0.548	0	3	Arhgap5
0	-0.797162236606103	0.678	0.811	0	3	Klf6
0	-0.799165060665074	0.582	0.892	0	3	Trf
0	-0.80204468197435	0.11	0.552	0	3	Frmd4a
0	-0.802091012339877	0.752	0.889	0	3	Selenop
0	-0.804603109383203	0.067	0.546	0	3	Ecscr
0	-0.804840468814723	0.397	0.738	0	3	Apbb1ip
0	-0.8103727673202	0.471	0.754	0	3	Ccnl1
0	-0.810969913027482	0.142	0.596	0	3	Srgap2
0	-0.812895787372357	0.841	0.918	0	3	Rgs10
0	-0.814026404964541	0.434	0.734	0	3	Scamp2
0	-0.814694350289801	0.099	0.573	0	3	Pde3b
0	-0.816785573537243	0.936	0.965	0	3	Ddx5
0	-0.818140575261536	0.469	0.718	0	3	Hmgb2
0	-0.821816574273719	0.383	0.721	0	3	Tgfbr1
0	-0.82674997922982	0.667	0.828	0	3	Itgb5
0	-0.831303118009076	0.964	0.963	0	3	Ubc
0	-0.846849307379403	0.81	0.926	0	3	C1qc
0	-0.848244884378995	0.213	0.534	0	3	Il1a
0	-0.849519258707298	0.124	0.616	0	3	Golm1
0	-0.853635819235404	0.124	0.494	0	3	Dusp2
0	-0.861849755123477	0.076	0.549	0	3	P2ry13
0	-0.863787049914925	0.32	0.654	0	3	Pmepa1
0	-0.872036173216054	0.996	0.991	0	3	mt-Co2
0	-0.885905183752775	0.188	0.643	0	3	Ssh2
0	-0.887142728382412	0.117	0.585	0	3	F11r
0	-0.891507733344498	0.618	0.83	0	3	Bin1
0	-0.896494402240788	0.448	0.744	0	3	Hpgds
0	-0.905008315065522	0.646	0.819	0	3	Qk
0	-0.909867785420268	0.14	0.641	0	3	Ppfia4
0	-0.910446966116887	0.342	0.754	0	3	Limd2
0	-0.914061724855833	0.504	0.81	0	3	Ifngr1
0	-0.918716790179866	0.609	0.84	0	3	Pld4
0	-0.923377727783058	0.717	0.892	0	3	Unc93b1
0	-0.924123875114613	0.527	0.838	0	3	Glul
0	-0.983023856143639	0.123	0.614	0	3	Arsb
0	-0.996969718797748	0.078	0.566	0	3	Gpr84
0	-1.00702849250918	0.473	0.765	0	3	Epb41l2
0	-1.01158650625016	0.066	0.611	0	3	Slco2b1
0	-1.02420348859001	0.222	0.67	0	3	Icam1
0	-1.02421710341839	0.535	0.798	0	3	Man2b1
0	-1.02929952109757	0.769	0.914	0	3	Nfkbia
0	-1.03768599527612	0.132	0.665	0	3	Cfh
0	-1.04277653331678	0.929	0.966	0	3	Junb
0	-1.0458704540331	0.197	0.671	0	3	Zfhx3
0	-1.0838850597071	0.786	0.925	0	3	C1qa
0	-1.08633509974896	0.13	0.673	0	3	Ptgs1
0	-1.08851204007185	0.186	0.538	0	3	Tnf
0	-1.1042265942989	0.233	0.685	0	3	Pou2f2
0	-1.10637544032253	0.684	0.775	0	3	Ccl3
0	-1.11596873021988	0.524	0.802	0	3	Ier5
0	-1.13661709768439	0.201	0.713	0	3	Marcksl1
0	-1.15740805432153	0.121	0.686	0	3	Tmem176a
0	-1.16940920437914	0.261	0.698	0	3	Ltc4s
0	-1.18629669255463	0.393	0.791	0	3	Kctd12
0	-1.19823948451217	0.073	0.666	0	3	Plxdc2
0	-1.2306304743484	0.372	0.746	0	3	Cd83
0	-1.23214694080962	0.237	0.772	0	3	Lpcat2
0	-1.24011149553558	0.663	0.823	0	3	mt-Nd3
0	-1.24220977427932	0.156	0.697	0	3	Serpine2
0	-1.25103767730649	0.295	0.77	0	3	Ldhb
0	-1.25902514827025	0.894	0.941	0	3	mt-Nd2
0	-1.27601575904363	0.504	0.799	0	3	Olfml3
0	-1.27809203405874	0.461	0.771	0	3	Jund
0	-1.27928627892586	0.035	0.496	0	3	Crybb1
0	-1.32852788674215	0.031	0.577	0	3	Siglech
0	-1.33458252815383	0.545	0.854	0	3	Selplg
0	-1.346187102841	0.518	0.894	0	3	Serinc3
0	-1.35789594948245	0.585	0.848	0	3	Zfp36
0	-1.36941020184281	0.222	0.719	0	3	Tmem119
0	-1.37645332641977	0.347	0.693	0	3	Klf2
0	-1.40930662118912	0.454	0.837	0	3	Ckb
0	-1.43468865689655	0.175	0.731	0	3	Nfkbiz
0	-1.43591507970059	0.149	0.768	0	3	Tmem176b
0	-1.45011513675715	0.449	0.778	0	3	Rhob
0	-1.45493705863128	0.861	0.948	0	3	Hexb
0	-1.46829430938907	0.24	0.793	0	3	Mef2c
0	-1.4892901103602	0.471	0.831	0	3	Ier2
0	-1.5391700987016	0.468	0.843	0	3	Fcrls
0	-1.54162686023236	0.291	0.649	0	3	Ccl12
0	-1.58366666023829	0.087	0.722	0	3	Gpr34
0	-1.6175942245768	0.619	0.877	0	3	Marcks
0	-1.66499361257675	0.71	0.854	0	3	Jun
0	-1.68255458842535	0.386	0.84	0	3	Btg2
0	-1.79384759568095	0.56	0.909	0	3	Ly86
0	-1.79544684876968	0.642	0.909	0	3	Csf1r
0	-1.82106429631135	0.649	0.385	0	3	S100a8
0	-1.97923679933434	0.992	0.995	0	3	Cst3
0	-2.00818617877568	0.152	0.727	0	3	P2ry12
0	-2.03144048487475	0.468	0.873	0	3	Cd81
0	-2.17915000122216	0.214	0.831	0	3	Cx3cr1
0	-2.23745090653361	0.189	0.711	0	3	Egr1
0	-2.50258516502675	0.276	0.809	0	3	Sparc
1.14947573949104e-278	-0.745893432738781	0.261	0.473	3.42532275610934e-274	3	Stmn1
1.29529198872003e-253	1.65809722558473	0.172	0.058	3.85984059718682e-249	3	Cxcl3
7.32998532753558e-247	-1.4500617918133	0.68	0.745	2.18426232775233e-242	3	Ccl4
4.85956946877409e-219	-0.743447658886888	0.044	0.212	1.44810310599999e-214	3	Cxcl10
4.10598313689696e-175	-0.750127992625532	0.219	0.382	1.22354191496393e-170	3	Apoc1
2.83363407286342e-172	1.24180212815656	0.654	0.576	8.44394617372571e-168	3	Ccl9
6.79576471354004e-145	-0.78766615797545	0.276	0.419	2.0250699269878e-140	3	Il1b
7.13068913449507e-51	-0.804563681520811	0.306	0.431	2.12487405518819e-46	3	Cd74
6.30400356456603e-39	-0.770859285085561	0.09	0.151	1.87853002220503e-34	3	Plac8
1.81453165228456e-30	-1.80600954885712	0.058	0.104	5.40712287064275e-26	3	Retnlg
2.56651715250893e-25	-1.012040801871	0.07	0.112	7.64796446276137e-21	3	Lcn2
2.8567293505616e-23	-2.69100304654855	0.266	0.33	8.51276779173852e-19	3	S100a9
1.11286745247976e-05	-0.855665257882886	0.118	0.098	0.331623372164444	3	H2-Aa
0	1.14092074956212	0.857	0.447	0	4	Lpl
0	0.951801091286539	0.645	0.3	0	4	Igf1
0	0.703359209270158	0.997	0.9	0	4	Cd63
9.09119501600499e-272	0.700483168423614	0.84	0.712	2.70908520281933e-267	4	Spp1
1.25813587076757e-223	-0.769381253248435	0.067	0.246	3.74911908130028e-219	4	Cd24a
5.61146419027232e-182	1.06713854627144	0.134	0.046	1.67216021405925e-177	4	Npy
1.02701931878031e-176	-1.77038382569211	0.256	0.392	3.06041486803344e-172	4	S100a6
9.54711070344127e-164	-1.46395640249305	0.294	0.412	2.84494351851846e-159	4	S100a11
5.67159457578634e-153	-1.23554500731548	0.033	0.162	1.69007846763857e-148	4	Chil3
6.5768294701528e-144	-0.979344698510555	0.497	0.575	1.95982941381083e-139	4	Ifitm3
3.00146659290321e-141	0.723232542606293	0.501	0.354	8.94407030019227e-137	4	Apoc1
5.3804699709495e-111	-0.983898961037573	0.087	0.2	1.60332624664324e-106	4	AA467197
1.99103335609663e-102	-0.872237068325524	0.181	0.288	5.93308029783236e-98	4	S100a4
2.45999354353367e-97	-0.775903644983768	0.042	0.136	7.33053476037598e-93	4	Slpi
1.71174777239338e-92	-1.0716764386088	0.226	0.332	5.10083718695504e-88	4	Thbs1
1.49823756633971e-81	-0.986420906575199	0.064	0.153	4.46459812393569e-77	4	Plac8
